Team 3309 Log File
Date: 03/12/2015
Time: 14:10:03

Timestamp,Heading,Pitch,Roll,LeftEncCount,RightEncCount,TotalCurrent,BatteryVoltage,Power

DISABLED
TELEOP STARTED
47:49.672,0.0,0.0,0.0,2053.0,1631.0,0.0,0.0,0.0
47:49.692,0.0,0.0,0.0,2075.0,1635.0,0.0,0.0,0.0
47:49.712,0.0,0.0,0.0,2098.0,1650.0,0.0,0.0,0.0
47:49.732,0.0,0.0,0.0,2120.0,1674.0,0.0,0.0,0.0
47:49.752,0.0,0.0,0.0,2142.0,1699.0,0.0,0.0,0.0
47:49.773,0.0,0.0,0.0,2164.0,1723.0,0.0,0.0,0.0
47:49.805,0.0,0.0,0.0,2189.0,1746.0,0.0,0.0,0.0
47:49.831,0.0,0.0,0.0,2234.0,1790.0,0.0,0.0,0.0
47:49.852,0.0,0.0,0.0,2256.0,1810.0,0.0,0.0,0.0
47:49.872,0.0,0.0,0.0,2278.0,1819.0,0.0,0.0,0.0
47:49.893,0.0,0.0,0.0,2302.0,1833.0,0.0,0.0,0.0
47:49.913,0.0,0.0,0.0,2325.0,1839.0,0.0,0.0,0.0
47:49.933,0.0,0.0,0.0,2349.0,1850.0,0.0,0.0,0.0
47:49.965,0.0,0.0,0.0,2372.0,1875.0,0.0,0.0,0.0
47:49.993,0.0,0.0,0.0,2415.0,1925.0,0.0,0.0,0.0
47:50.013,0.0,0.0,0.0,2438.0,1949.0,0.0,0.0,0.0
47:50.033,0.0,0.0,0.0,2461.0,1972.0,0.0,0.0,0.0
47:50.052,0.0,0.0,0.0,2482.0,1993.0,0.0,0.0,0.0
47:50.072,0.0,0.0,0.0,2505.0,2011.0,0.0,0.0,0.0
47:50.092,0.0,0.0,0.0,2528.0,2022.0,0.0,0.0,0.0
47:50.112,0.0,0.0,0.0,2552.0,2033.0,0.0,0.0,0.0
47:50.134,0.0,0.0,0.0,2575.0,2038.0,0.0,0.0,0.0
47:50.152,0.0,0.0,0.0,2598.0,2057.0,0.0,0.0,0.0
47:50.193,0.0,0.0,0.0,2643.0,2108.0,0.0,0.0,0.0
47:50.212,0.0,0.0,0.0,2667.0,2134.0,0.0,0.0,0.0
47:50.233,0.0,0.0,0.0,2690.0,2158.0,0.0,0.0,0.0
